ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10060,1,1,0,0,0,0,0,0,0,0,0,0
10060,2,1,0,0,0,0,0,0,27,7,0,0
10061,1,1,0,24,0,0,0,21,6,0,0,6
10061,2,1,0,0,0,0,0,0,0,0,0,0
10062,1,1,0,0,0,0,0,0,0,0,0,0
10063,1,1,10,0,0,0,0,0,0,37,11,8
10064,1,1,0,0,0,0,0,0,0,0,0,0
10065,0,1,0,0,0,0,0,0,0,0,0,0
10065,1,1,21,21,21,21,21,21,21,21,21,21
10066,0,1,30,30,30,30,30,30,30,30,30,30
10066,1,1,9,25,30,18,0,7,0,27,0,0
10067,1,1,0,0,0,0,0,0,0,0,0,0
10068,1,1,0,0,0,0,0,0,0,0,0,0
10069,1,1,0,0,0,0,0,0,0,0,0,0
10070,1,1,0,0,0,0,0,0,0,0,0,0
10071,1,1,0,0,0,0,0,0,0,0,0,9
10072,1,1,0,0,0,0,0,0,0,0,0,0
10074,1,1,0,0,0,0,0,0,0,0,0,0
10075,1,1,0,0,0,0,0,0,0,0,0,0
10075,2,1,0,0,0,0,0,0,0,0,0,0
10076,1,1,21,21,21,21,21,21,21,21,21,21
10077,1,1,11,14,3,14,20,19,33,16,10,20
10078,0,1,2,0,0,0,0,0,0,15,0,0
10078,1,1,0,0,0,0,0,0,0,0,0,0
10079,0,1,0,0,33,0,0,0,0,0,0,0
10079,0,2,32,26,28,0,3,0,0,0,0,0
10079,0,3,0,33,0,23,24,0,0,0,0,11
10079,1,1,0,0,0,0,0,0,0,0,0,0
10080,1,1,12,16,16,27,25,30,4,25,13,14
10081,1,1,0,10,0,0,0,0,0,0,0,0
10081,2,1,0,0,0,0,0,0,0,0,0,0
10082,1,1,0,0,0,0,0,0,0,0,0,0
10083,1,1,17,14,14,38,23,10,7,6,22,32
10084,1,1,0,0,0,0,0,0,0,0,0,0
10085,1,1,12,12,12,12,12,12,12,12,12,12
10086,1,1,0,0,0,0,0,0,0,10,14,0
10087,0,1,24,0,0,15,0,16,7,0,0,27
10087,1,1,0,0,0,0,0,0,0,0,0,0
10088,1,1,0,0,0,0,0,0,0,0,0,0
10088,2,1,0,0,0,0,0,0,0,0,0,0
10089,0,1,0,0,0,0,0,0,14,0,0,0
10089,1,1,0,0,0,0,0,0,0,0,0,0
10090,1,1,0,0,0,0,0,0,0,0,0,0
10090,2,1,0,12,0,0,0,0,0,0,0,0
10090,3,1,0,0,0,22,0,0,0,0,0,0
10091,1,1,0,0,0,0,0,0,0,0,0,0
10092,1,1,19,19,19,19,19,19,19,19,19,19
10093,1,1,0,0,0,0,0,0,0,0,0,0
10094,1,1,0,0,0,0,28,28,0,0,27,0
10094,2,1,0,0,0,0,6,0,0,0,0,0
10095,1,1,0,0,0,0,0,0,0,0,0,0
10096,1,1,0,0,0,0,0,0,0,14,0,0
10097,0,1,31,23,0,0,0,21,23,0,0,0
10097,1,1,0,5,11,2,11,0,0,0,21,9
10097,2,1,0,0,0,25,0,0,0,4,0,22
10098,1,1,0,0,0,0,0,0,0,0,0,0
10099,1,1,0,0,0,0,0,0,0,0,0,0
10099,2,1,0,0,0,0,0,0,0,0,0,0
10100,0,1,0,0,0,0,0,0,0,0,0,0
10100,1,1,0,11,0,0,0,0,11,0,11,0
10101,1,1,24,24,24,24,24,24,24,24,24,24
10102,1,1,0,0,0,0,0,0,0,0,0,0
10102,2,1,0,0,0,0,0,0,0,32,0,0
10103,1,1,25,25,25,25,25,25,25,25,25,25
10104,1,1,21,21,21,21,21,21,21,21,21,21
10104,2,1,0,0,0,0,0,0,0,0,0,0
10105,1,1,5,5,5,5,5,5,5,5,5,5
10105,2,1,29,29,29,29,29,29,29,29,29,29
10105,3,1,0,0,2,5,29,0,0,0,11,23
10107,1,1,3,3,3,3,3,3,3,3,3,3
10108,1,1,0,0,0,0,0,0,0,0,0,0
10109,1,1,0,0,0,0,0,0,11,0,14,0
10109,2,1,0,0,0,0,0,0,0,0,0,0
10110,1,1,15,15,15,15,15,15,15,15,15,15
10111,1,1,0,0,0,0,0,0,0,0,0,0
10111,2,1,0,0,0,0,0,0,0,0,0,0
10111,3,1,0,0,0,0,0,0,0,0,0,0
10112,1,1,0,0,0,0,0,0,0,0,0,0
10112,2,1,0,0,0,0,0,0,0,0,15,0
10113,1,1,0,0,29,18,0,18,0,0,15,9
10114,1,1,0,0,0,0,0,0,0,0,0,0
10114,2,1,0,0,0,0,0,0,0,0,0,0
10114,3,1,0,0,0,0,0,0,0,0,0,0
10115,1,1,10,10,10,10,10,10,10,10,10,10
10116,0,1,21,21,21,21,21,21,21,21,21,21
10116,1,1,0,0,0,0,0,0,0,0,0,0
10117,1,1,0,0,0,0,0,17,0,0,0,0
10117,2,1,0,15,0,18,0,0,0,21,0,0
10118,0,1,0,18,0,0,0,0,20,0,0,0
10118,1,1,0,0,0,0,0,0,0,0,0,0
10119,1,1,0,0,13,0,0,0,0,24,0,0
10120,1,1,18,18,18,18,18,18,18,18,18,18
10121,1,1,34,20,21,16,7,4,6,9,22,12
10121,2,1,0,0,0,0,0,0,0,0,0,0
10122,1,1,15,15,15,15,15,15,15,15,15,15
10123,1,1,0,0,0,0,0,0,0,0,0,0
10123,2,1,0,0,0,0,0,0,0,0,0,0
10124,1,1,0,0,0,0,0,0,0,0,0,0
10125,1,1,6,16,0,19,0,14,15,0,42,10
10126,1,1,0,0,0,0,0,0,0,0,0,0
10127,1,1,8,0,0,27,0,0,0,0,0,20
10128,1,1,0,0,0,0,0,0,0,0,0,0
10128,2,1,0,0,0,0,0,0,0,0,0,0
10129,1,1,0,0,0,0,0,0,0,0,0,0
10129,2,1,0,0,0,0,0,0,0,0,0,0
10130,1,1,0,0,0,0,0,0,0,0,0,0
10130,2,1,0,8,0,0,0,0,0,0,0,0
10131,0,1,0,0,0,0,0,0,0,0,0,0
10131,1,1,1,1,1,1,1,1,1,1,1,1
10132,1,1,0,0,0,0,0,0,0,0,0,0
10132,2,1,0,0,0,0,0,0,0,0,0,0
10133,1,1,21,21,21,21,21,21,21,21,21,21
10134,0,1,0,0,0,0,0,0,0,0,0,0
10134,0,2,0,0,0,0,0,0,0,0,0,0
10134,2,1,0,0,0,0,0,41,9,0,0,0
10135,0,1,0,0,0,0,0,0,0,0,0,0
10135,1,1,0,0,0,0,0,0,0,0,0,0
10136,1,1,0,0,0,16,14,0,0,0,0,0
10137,1,1,0,0,15,0,20,0,0,0,17,21
10138,0,1,27,27,27,27,27,27,27,27,27,27
10138,1,1,0,0,0,0,0,0,0,0,0,0
10139,1,1,12,12,12,12,12,12,12,12,12,12
10140,1,1,0,0,0,0,0,0,0,0,0,0
10141,1,1,0,0,23,0,0,0,0,0,0,0
10142,0,1,0,26,0,0,0,0,0,0,0,0
10142,1,1,0,0,0,0,0,0,0,0,0,0
10142,2,1,0,0,0,0,16,0,0,0,0,0
10143,0,1,0,0,0,0,0,0,26,0,0,0
10143,1,1,10,10,10,10,10,10,10,10,10,10
10144,1,1,0,0,0,0,0,0,0,0,0,0
10144,2,1,1,1,1,1,1,1,1,1,1,1
10145,1,1,0,0,0,0,0,0,0,0,0,0
10145,2,1,0,0,0,0,0,0,0,0,0,0
10146,1,1,0,0,0,0,0,0,0,0,0,0
10146,2,1,0,0,0,0,0,0,0,0,0,0
10146,3,1,0,0,0,0,0,0,0,0,0,0
10146,4,1,0,0,0,0,0,0,0,0,0,0
10147,0,1,0,0,0,0,0,0,0,0,0,0
10147,0,2,0,0,0,0,0,0,0,0,0,0
10147,1,1,0,0,0,0,0,0,0,0,0,0
10148,1,1,0,0,0,0,0,0,0,0,0,0
10149,1,1,0,0,0,0,0,0,0,0,0,0
10150,1,1,0,0,0,0,0,0,0,0,0,0
10150,2,1,0,0,0,0,0,0,0,0,0,0
10151,1,1,31,31,31,31,31,31,31,31,31,31
10152,0,1,0,0,0,0,0,0,0,0,0,0
10152,1,1,0,0,0,0,0,0,0,0,0,0
10153,1,1,0,22,0,0,12,7,0,19,0,0
10153,2,1,0,0,0,0,0,0,0,10,0,0
10154,1,1,9,9,9,9,9,9,9,9,9,9
10155,1,1,0,0,0,0,0,0,0,0,0,0
10156,1,1,0,0,0,0,0,0,0,0,0,0
10157,0,1,0,0,0,0,0,0,0,0,0,0
10157,1,1,0,0,0,0,0,0,0,0,0,0
10158,1,1,0,0,0,0,0,0,0,0,0,0
10158,2,1,0,0,0,0,0,0,0,0,0,0
10159,0,1,24,24,24,24,24,24,24,24,24,24
10159,1,1,0,0,0,0,0,0,0,0,0,0
10160,0,1,0,0,49,0,0,0,0,0,21,39
10160,1,1,0,13,26,13,0,39,28,21,24,3
10161,1,1,0,0,0,0,0,0,0,0,0,0
10162,1,1,16,18,39,11,11,27,24,22,6,31
10162,2,1,0,0,0,0,0,0,0,0,0,13
10163,1,1,0,0,0,0,0,0,0,0,0,0
10164,1,1,0,0,0,0,0,0,0,0,0,0
10164,2,1,0,0,0,0,0,0,0,0,0,0
10165,0,1,15,15,15,15,15,15,15,15,15,15
10165,1,1,0,0,0,0,0,0,19,22,0,0
10167,1,1,0,0,0,0,15,0,0,0,21,0
10167,2,1,0,0,0,0,0,0,0,0,0,0
10168,1,1,0,0,0,17,9,0,0,0,0,0
10168,2,1,0,0,0,0,0,0,0,0,0,0
10169,1,1,0,0,0,0,0,0,0,0,0,0
10170,1,1,0,0,0,0,0,0,0,0,0,0
10170,2,1,0,0,0,0,0,0,0,0,0,0
10170,3,1,0,0,0,0,0,0,0,0,0,0
10171,1,1,0,0,0,0,0,0,0,0,0,9
10172,1,1,28,16,29,14,32,18,21,12,16,20
10173,1,1,8,8,8,8,8,8,8,8,8,8
10174,1,1,20,20,20,20,20,20,20,20,20,20
10175,1,1,0,0,0,0,0,0,0,0,0,0
10175,2,1,21,0,0,26,0,0,0,23,0,0
10176,1,1,20,0,43,0,0,0,0,0,0,0
10177,1,1,0,13,0,0,0,0,0,3,0,0
10177,2,1,0,0,0,0,0,0,0,0,0,0
10178,1,1,0,0,0,0,0,0,0,0,0,0
10178,2,1,0,0,0,0,0,0,0,0,0,0
10179,0,1,8,8,8,8,8,8,8,8,8,8
10179,1,1,0,0,18,0,0,0,29,0,0,0
10180,1,1,0,0,0,0,0,0,0,0,0,0
10180,2,1,0,0,0,0,0,0,0,0,0,0
10181,1,1,0,0,0,0,0,0,0,0,0,0
10181,2,1,0,0,0,0,0,0,0,0,0,0
10182,1,1,0,0,0,0,0,0,0,0,0,0
10182,2,1,0,0,0,0,0,0,0,0,0,0
10183,1,1,0,0,0,0,0,0,0,0,0,0
10184,1,1,0,0,0,0,0,0,0,0,0,0
10185,1,1,16,16,16,16,16,16,16,16,16,16
10186,1,1,23,23,23,23,23,23,23,23,23,23
10186,2,1,9,5,20,0,0,0,10,0,0,0
10187,1,1,0,0,0,0,0,0,0,0,0,0
10187,2,1,0,0,0,0,0,0,5,0,0,0
10188,1,1,40,22,17,0,0,0,0,21,27,8
10189,1,1,0,0,0,0,0,0,0,0,0,0
10190,1,1,12,0,0,0,0,0,0,0,0,0
10190,2,1,0,0,0,19,0,0,0,0,0,0
10190,3,1,0,0,0,22,8,0,8,30,12,0
10191,0,1,0,0,0,0,0,0,0,0,0,0
10191,1,1,18,25,51,13,0,34,0,6,0,0
10192,1,1,0,0,0,0,0,0,0,0,0,0
10193,1,1,14,14,14,14,14,14,14,14,14,14
10194,1,1,13,13,13,13,13,13,13,13,13,13
10195,1,1,0,0,0,0,0,0,0,0,0,0
10195,2,1,0,0,15,0,0,0,0,0,0,0
10195,3,1,0,0,0,0,0,0,22,0,0,0
10196,1,1,0,0,0,0,0,0,0,0,0,0
10196,2,1,0,0,0,0,0,0,0,0,13,0
10197,1,1,0,0,0,0,0,0,0,0,0,0
10198,1,1,0,0,0,0,0,0,0,0,0,0
10198,2,1,0,0,0,0,0,0,0,0,0,0
10199,1,1,0,0,0,0,0,0,0,0,0,0
10199,2,1,14,14,14,14,14,14,14,14,14,14
10199,3,1,0,0,0,0,0,0,0,0,0,0
10200,1,1,0,0,0,0,0,0,0,0,0,0
10200,2,1,0,17,0,8,0,0,0,0,0,0
10201,1,1,18,18,18,18,18,18,18,18,18,18
10202,1,1,0,0,0,0,0,0,0,0,0,0
10203,1,1,12,12,12,12,12,12,12,12,12,12
10203,2,1,0,0,0,0,0,0,0,0,0,0
10204,1,1,13,5,18,2,25,13,10,17,0,16
10204,2,1,24,24,24,24,24,24,24,24,24,24
10205,1,1,22,22,22,22,22,22,22,22,22,22
10205,2,1,0,0,0,0,0,0,0,0,0,0
10205,3,1,0,0,0,10,0,0,0,0,0,0
10206,1,1,28,28,28,28,28,28,28,28,28,28
10207,1,1,12,12,12,12,12,12,12,12,12,12
10208,0,1,0,0,0,0,0,0,0,0,0,0
10208,1,1,0,0,0,0,0,0,0,0,0,0
10209,1,1,0,0,0,0,0,0,0,0,0,0
10210,1,1,0,0,0,0,0,0,0,0,0,0
10210,2,1,0,0,0,0,0,0,0,0,0,0
10210,3,1,0,0,0,0,0,0,0,0,0,0
10210,4,1,0,0,0,0,0,0,0,0,0,0
10211,1,1,0,0,0,0,0,0,0,0,0,0
10211,2,1,0,0,2,0,0,0,0,0,0,0
10212,1,1,0,0,0,0,0,0,0,0,0,0
10213,1,1,0,0,0,0,0,0,0,0,0,0
10213,2,1,0,0,0,0,0,0,0,0,0,0
10214,1,1,0,0,0,39,29,20,0,6,0,0
10215,1,1,0,26,0,0,0,0,0,0,0,0
10216,1,1,14,14,14,14,14,14,14,14,14,14
10217,1,1,0,0,0,0,0,0,0,0,0,0
10217,2,1,0,0,0,0,0,0,0,0,0,0
10218,1,1,0,0,0,0,0,7,23,0,0,0
10219,1,1,0,0,0,0,0,0,0,0,0,0
10219,2,1,0,0,0,0,0,0,0,12,0,0
10220,1,1,1,1,1,1,1,1,1,1,1,1
10220,2,1,0,0,0,0,0,0,0,0,0,0
10221,0,1,12,12,12,12,12,12,12,12,12,12
10221,1,1,0,0,0,0,0,0,0,0,0,0
10222,1,1,0,0,0,13,0,19,0,0,6,0
10222,2,1,0,0,0,0,16,0,0,0,0,0
10222,3,1,0,0,0,0,7,0,0,0,0,0
10223,1,1,0,0,0,0,0,0,0,0,6,0
10224,1,1,25,25,25,25,25,25,25,25,25,25
10225,1,1,0,0,0,0,0,0,0,0,0,0
10226,0,1,0,18,23,0,18,0,0,0,0,0
10226,1,1,21,7,10,32,23,6,0,0,10,0
10227,1,1,0,0,0,0,0,0,0,0,0,0
10228,1,1,3,3,3,3,3,3,3,3,3,3
10228,2,1,0,0,0,0,0,0,0,0,0,0
10229,1,1,0,0,0,0,0,0,0,0,0,0
10229,2,1,12,8,23,9,12,7,12,5,6,15
10230,1,1,0,0,0,0,0,0,0,0,0,0
10230,2,1,0,0,0,0,34,0,10,0,0,0
10231,1,1,0,0,0,0,0,0,0,0,0,0
10232,1,1,19,19,19,19,19,19,19,19,19,19
10233,1,1,0,0,0,0,0,0,0,0,0,0
10233,2,1,16,0,0,0,0,0,0,0,0,0
10234,1,1,0,0,0,0,0,0,0,0,0,0
10234,2,1,0,0,0,0,0,0,0,0,0,0
10235,1,1,0,0,0,0,0,0,0,0,0,0
10236,1,1,10,10,10,10,10,10,10,10,10,10
10237,1,1,0,0,0,0,0,0,0,0,0,0
10238,1,1,24,0,11,17,29,0,0,43,0,6
10239,1,1,0,0,16,0,0,0,0,0,0,0
10240,1,1,0,0,0,0,0,0,0,0,0,0
10240,2,1,0,0,0,0,0,0,0,0,0,0
10240,3,1,0,0,0,0,0,0,0,0,0,0
10241,1,1,0,0,0,0,0,0,0,0,0,0
10241,2,1,0,0,0,0,0,0,0,0,0,0
10242,1,1,0,0,0,0,0,0,10,11,0,0
10243,1,1,0,0,0,0,0,0,0,0,0,0
10244,1,2,22,0,10,0,12,21,8,0,21,0
10245,0,1,0,0,0,0,0,0,0,0,0,0
10245,1,1,15,0,0,0,0,0,0,17,0,0
10246,1,1,8,12,10,15,38,9,39,11,8,18
10247,1,1,0,0,0,0,0,0,0,0,0,0
10248,1,1,18,0,17,9,0,0,0,20,0,0
10249,1,1,0,0,0,0,0,0,0,0,0,0
10249,2,1,0,0,0,0,0,0,0,0,0,0
10250,0,1,10,21,0,26,0,0,25,0,0,0
10250,1,1,0,0,0,0,0,0,0,0,0,0
10251,1,1,0,0,0,0,23,0,0,0,0,0
10252,1,1,0,0,0,0,0,0,0,0,0,0
10252,2,1,0,0,0,0,0,0,0,0,0,0
10253,0,1,0,0,31,24,0,0,0,0,0,8
10253,1,1,0,0,0,18,0,28,0,6,21,0
10254,1,1,0,0,0,0,0,0,0,0,0,0
10255,1,1,0,0,0,0,0,0,0,0,0,0
10255,2,1,0,24,0,15,22,0,12,0,0,11
10256,1,1,16,16,16,16,16,16,16,16,16,16
10256,2,1,0,0,0,0,20,18,0,15,0,13
10257,1,1,16,23,21,14,18,16,10,19,24,20
10258,1,1,21,21,21,21,21,21,21,21,21,21
10259,1,1,27,2,15,21,15,14,29,24,11,11
10259,2,1,0,0,0,0,0,0,0,0,0,6
10260,0,1,12,41,16,51,0,13,22,0,28,16
10260,1,1,0,0,0,0,0,0,0,0,0,0
10261,1,1,0,0,0,0,0,0,0,0,0,22
10261,2,1,1,1,1,1,1,1,1,1,1,1
10262,1,1,8,0,0,0,25,0,0,0,0,19
10263,1,1,0,0,0,0,0,0,0,0,0,0
10263,2,1,0,0,0,0,0,0,0,0,0,0
10264,0,1,0,0,0,0,0,0,22,0,0,0
10264,1,1,0,0,29,0,0,0,0,0,0,0
10265,1,1,0,0,0,0,0,0,0,0,0,0
10266,1,1,0,0,0,0,0,0,0,0,0,0
10266,2,1,0,0,0,0,0,0,0,0,0,0
10267,1,1,0,22,35,9,0,16,0,0,0,0
10267,2,1,0,0,0,0,0,0,0,0,0,0
10268,0,1,0,0,0,0,0,0,0,0,0,0
10268,1,1,0,0,0,0,0,0,0,0,0,0
10269,1,1,0,0,0,0,0,0,0,0,0,0
10269,2,1,0,25,0,0,0,0,0,0,0,0
10269,3,1,0,0,0,18,0,0,0,0,0,0
10270,1,1,13,24,14,10,23,13,19,11,29,16
10270,2,1,0,0,9,3,12,0,0,0,0,0
10271,1,1,0,0,0,0,0,0,0,0,0,0
10272,1,1,29,29,29,29,29,29,29,29,29,29
10273,0,1,0,0,0,0,0,0,0,0,0,0
10273,1,1,0,0,0,3,6,0,0,0,0,11
10273,2,1,0,18,0,0,0,0,0,0,0,0
10274,1,1,0,0,0,0,0,0,0,0,0,0
10274,2,1,0,0,0,0,0,0,0,0,0,0
10275,1,1,0,0,0,0,0,0,0,0,0,0
10276,1,1,16,16,16,16,16,16,16,16,16,16
10277,0,1,18,18,18,18,18,18,18,18,18,18
10277,1,1,0,0,0,0,0,0,0,0,0,0
10278,1,1,16,16,16,16,16,16,16,16,16,16
10279,1,1,0,0,0,0,0,0,0,0,0,0
10280,1,1,0,0,0,0,0,0,0,0,0,0
10280,2,1,0,0,0,0,0,0,0,11,0,0
10281,1,1,22,30,11,31,7,19,26,26,35,14
10282,1,1,9,27,12,23,30,4,5,26,7,11
10282,2,1,0,0,0,0,0,0,0,0,0,0
10282,3,1,0,0,0,0,0,0,0,0,0,8
10283,1,1,0,0,0,0,0,0,0,0,0,0
10284,1,1,0,0,0,0,0,0,0,0,0,0
10285,1,1,0,0,0,0,0,0,0,0,0,0
10285,2,1,0,0,0,0,0,0,0,0,0,0
10286,1,1,0,0,0,0,0,0,0,0,0,0
10287,1,1,0,0,0,0,0,0,0,0,0,0
10287,2,1,25,0,0,6,0,0,0,0,0,0
10288,1,1,0,0,0,0,0,0,0,0,0,0
10288,2,1,0,0,0,0,0,0,0,0,0,0
10289,0,1,0,0,0,0,0,0,0,0,0,0
10289,1,1,17,7,0,15,0,0,0,0,0,0
10290,0,1,8,8,8,8,8,8,8,8,8,8
10290,1,1,24,24,24,24,24,24,24,24,24,24
10291,1,1,0,0,0,0,0,0,0,0,0,0
10292,1,1,0,0,0,0,16,0,0,3,0,0
10292,2,1,0,0,0,0,0,0,0,0,0,0
10293,1,1,0,0,0,0,0,0,0,0,0,0
10294,1,1,2,2,2,2,2,2,2,2,2,2
10295,0,1,0,0,0,0,0,0,0,0,0,0
10295,0,2,0,0,0,0,0,0,0,0,0,0
10295,1,1,0,0,0,0,0,0,0,0,0,0
10296,1,1,0,0,0,0,0,0,0,0,0,0
10298,1,1,0,0,0,0,0,0,0,0,0,0
10298,2,1,0,0,0,0,0,0,0,0,0,0
10299,1,1,0,0,0,0,0,0,0,0,0,0
10299,2,1,0,0,0,0,0,0,0,0,0,0
10300,1,1,22,22,22,22,22,22,22,22,22,22
10301,1,1,0,0,0,0,0,0,0,0,0,0
10302,1,1,0,0,0,0,0,0,0,0,0,0
10302,2,1,0,0,0,0,0,0,0,0,0,0
10303,1,1,0,0,22,13,16,27,0,0,6,4
10304,1,1,0,0,0,0,0,0,0,0,0,0
10305,1,1,0,0,0,0,0,0,0,0,0,0
10305,2,1,0,0,0,0,0,0,0,0,0,0
10306,1,1,0,0,0,0,0,0,0,0,0,0
10306,2,1,0,0,0,0,0,0,0,0,0,0
10307,1,1,0,0,0,0,0,0,0,0,0,0
10307,2,1,0,0,0,0,0,13,0,0,0,0
10307,3,1,0,0,0,0,0,0,0,0,0,0
10308,1,1,0,0,0,0,0,0,0,0,0,0
10308,2,1,0,0,0,0,0,0,0,0,0,0
10309,1,1,0,0,0,0,0,0,0,0,0,0
10309,2,1,0,0,0,0,0,0,0,0,0,0
10310,1,1,0,0,0,0,0,0,0,0,0,0
10311,1,1,0,0,0,0,0,0,0,0,0,0
10311,2,1,0,0,0,0,0,0,0,0,0,0
10312,1,1,0,0,0,0,0,0,0,0,19,0
10312,2,1,0,0,0,0,0,0,0,0,0,0
10313,1,1,9,9,9,9,9,9,9,9,9,9
10313,2,1,0,0,0,0,0,0,0,0,0,0
10314,1,1,0,0,0,0,0,0,0,0,0,0
10314,2,1,0,0,0,0,0,0,0,0,0,0
10315,1,1,0,0,0,0,0,0,0,0,0,0
10316,0,1,22,22,22,22,22,22,22,22,22,22
10316,1,1,0,0,0,0,0,0,0,0,0,0
10316,2,1,0,0,0,0,0,0,0,0,0,0
10317,1,1,0,0,0,0,0,0,0,0,0,0
10317,2,1,0,0,0,0,0,0,0,0,0,0
10318,1,1,0,0,0,0,0,0,0,0,0,0
10319,1,1,26,26,26,26,26,26,26,26,26,26
10320,1,1,0,0,0,0,0,0,0,0,0,0
10321,1,1,0,0,0,0,0,0,0,0,0,0
10321,2,1,9,9,9,9,9,9,9,9,9,9
10322,1,1,12,12,12,12,12,12,12,12,12,12
10323,1,1,0,0,0,0,0,0,0,0,0,0
